comparison,pair_id,mode,model,family,access,n_total,n_nc,full_compliance,non_compliance,partial_compliance,bare,ethics_based,policy_based,capacity_based
closed_family,gpt-5.3 vs grok-4.20,Model A,gpt-5.3,OpenAI,closed/proprietary,199,175,0.07537688442211055,0.8793969849246231,0.04522613065326633,0.09142857142857143,0.8685714285714285,0.03428571428571429,0.005714285714285714
closed_family,gpt-5.3 vs grok-4.20,Model B,grok-4.20,xAI,closed/proprietary,181,141,0.20441988950276244,0.7790055248618785,0.016574585635359115,0.09929078014184398,0.7659574468085106,0.1347517730496454,0
closed_family,claude-opus-4.6 vs gpt-5.3,Model A,claude-opus-4.6,Anthropic,closed/proprietary,194,171,0.10309278350515463,0.8814432989690721,0.015463917525773196,0.04093567251461988,0.9181286549707602,0.03508771929824561,0.005847953216374269
closed_family,claude-opus-4.6 vs gpt-5.3,Model B,gpt-5.3,OpenAI,closed/proprietary,199,175,0.07537688442211055,0.8793969849246231,0.04522613065326633,0.09142857142857143,0.8685714285714285,0.03428571428571429,0.005714285714285714
closed_family,claude-opus-4.6 vs gemini-2.5-pro,Model A,claude-opus-4.6,Anthropic,closed/proprietary,194,171,0.10309278350515463,0.8814432989690721,0.015463917525773196,0.04093567251461988,0.9181286549707602,0.03508771929824561,0.005847953216374269
closed_family,claude-opus-4.6 vs gemini-2.5-pro,Model B,gemini-2.5-pro,Google,closed/proprietary,179,110,0.3463687150837989,0.6145251396648045,0.03910614525139665,0.045454545454545456,0.7454545454545455,0.20909090909090908,0
closed_family,claude-opus-4.6 vs grok-4.20,Model A,claude-opus-4.6,Anthropic,closed/proprietary,194,171,0.10309278350515463,0.8814432989690721,0.015463917525773196,0.04093567251461988,0.9181286549707602,0.03508771929824561,0.005847953216374269
closed_family,claude-opus-4.6 vs grok-4.20,Model B,grok-4.20,xAI,closed/proprietary,181,141,0.20441988950276244,0.7790055248618785,0.016574585635359115,0.09929078014184398,0.7659574468085106,0.1347517730496454,0
closed_family,gemini-2.5-pro vs gpt-5.3,Model A,gemini-2.5-pro,Google,closed/proprietary,179,110,0.3463687150837989,0.6145251396648045,0.03910614525139665,0.045454545454545456,0.7454545454545455,0.20909090909090908,0
closed_family,gemini-2.5-pro vs gpt-5.3,Model B,gpt-5.3,OpenAI,closed/proprietary,199,175,0.07537688442211055,0.8793969849246231,0.04522613065326633,0.09142857142857143,0.8685714285714285,0.03428571428571429,0.005714285714285714
closed_family,gemini-2.5-pro vs grok-4.20,Model A,gemini-2.5-pro,Google,closed/proprietary,179,110,0.3463687150837989,0.6145251396648045,0.03910614525139665,0.045454545454545456,0.7454545454545455,0.20909090909090908,0
closed_family,gemini-2.5-pro vs grok-4.20,Model B,grok-4.20,xAI,closed/proprietary,181,141,0.20441988950276244,0.7790055248618785,0.016574585635359115,0.09929078014184398,0.7659574468085106,0.1347517730496454,0
